title,author,categoryId,num_purchases,courseRating,quizRating,instructorRating,contentRating,satisfaction
Adaptive demand-driven benchmark,Joseph Skinner,916d0c63-7b5f-42da-8a0a-0dd2ae870662,1.0,,,,,
Adaptive demand-driven synergy,Meredith Velazquez,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,,,,,
Adaptive didactic encoding,Brandon Boyle,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,3.0,2.0,2.0,4.0,1.0
Adaptive didactic flexibility,Tony Cisneros,e67e65d7-0936-43d5-bb1b-721c832eac03,,2.0,2.0,5.0,5.0,5.0
Adaptive didactic frame,Kiara Delgado,2b41facd-f492-4805-b67a-58b607510045,3.0,,,,,
Adaptive didactic pricing structure,Daniel Allen,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,4.0,3.0,3.0,5.0,1.0
Adaptive directional paradigm,Cindy Ferguson,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,3.0,1.0,3.0,3.0,5.0
Adaptive discrete installation,Nicholas Evans,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,,2.6666666666666665,2.6666666666666665,2.3333333333333335,4.0,3.3333333333333335
Adaptive disintermediate concept,Amy White,e67e65d7-0936-43d5-bb1b-721c832eac03,2.0,3.3333333333333335,2.3333333333333335,3.3333333333333335,2.3333333333333335,2.6666666666666665
Adaptive disintermediate hierarchy,Elizabeth Santos,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,,2.0,3.0,5.0,4.0,3.0
Adaptive disintermediate projection,Hunter Bryant,916d0c63-7b5f-42da-8a0a-0dd2ae870662,1.0,4.0,1.0,4.0,5.0,5.0
Adaptive dynamic access,Colleen Murray,2b41facd-f492-4805-b67a-58b607510045,2.0,,,,,
Adaptive dynamic complexity,Sandra Thomas,e67e65d7-0936-43d5-bb1b-721c832eac03,4.0,,,,,
Adaptive dynamic customer loyalty,Christopher Blevins,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,2.0,2.5,2.5,2.5,2.5
Adaptive dynamic protocol,Nicholas Hill,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,,3.0,2.3333333333333335,3.0,2.3333333333333335,4.0
Adaptive dynamic service-desk,Adrienne Greer,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,,,,,
Adaptive dynamic standardization,Sherri Nelson,2b41facd-f492-4805-b67a-58b607510045,1.0,4.0,4.0,2.0,3.0,3.0
Adaptive dynamic throughput,Melanie Jordan,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,,3.0,2.0,4.0,5.0,5.0
Adaptive eco-centric attitude,Paula Russell,2b41facd-f492-4805-b67a-58b607510045,,3.4,3.8,2.2,3.4,2.6
Adaptive eco-centric flexibility,Todd Martinez,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,3.5,4.0,3.0,2.0,3.5
Adaptive eco-centric process improvement,Laurie Taylor,2b41facd-f492-4805-b67a-58b607510045,1.0,,,,,
Adaptive eco-centric protocol,Lori Christian,916d0c63-7b5f-42da-8a0a-0dd2ae870662,4.0,,,,,
Adaptive empowering service-desk,Scott Graham,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,4.0,2.0,4.0,5.0,2.0
Adaptive encompassing hierarchy,Elizabeth Woods MD,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,2.0,3.0,2.0,1.0,2.0,4.0
Adaptive encompassing protocol,Samantha Hayes,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,5.0,2.0,3.0,2.0,4.0
Adaptive even-keeled database,Alexander Thomas,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,4.25,1.75,3.5,1.75,4.0
Adaptive even-keeled knowledge user,Tammy Walker,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,1.0,2.0,3.0,5.0,1.0
Adaptive even-keeled pricing structure,Kimberly Hill,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,1.0,5.0,5.0,1.0,4.0
Adaptive executive attitude,Joseph Rogers,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,2.0,5.0,2.0,4.0,2.0
Adaptive executive installation,Calvin Palmer,e67e65d7-0936-43d5-bb1b-721c832eac03,2.0,,,,,
Adaptive executive interface,Kayla Harris,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,2.0,5.0,2.0,3.0,3.0
Adaptive exuding flexibility,Michael Torres,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,3.0,2.0,4.0,4.0,5.0,2.0
Adaptive exuding hardware,Katelyn Thomas,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,,5.0,5.0,3.0,3.0,4.0
Adaptive exuding paradigm,Jeremy Espinoza,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,3.0,,,,,
Adaptive fault-tolerant data-warehouse,Joshua Flynn,2b41facd-f492-4805-b67a-58b607510045,,5.0,1.0,2.0,2.0,4.0
Adaptive fault-tolerant product,Luis Hernandez,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,,5.0,4.0,3.0,1.0,2.0
Adaptive foreground budgetary management,Gregory Choi,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,3.0,2.0,3.0,1.0,4.0
Adaptive foreground product,Randall Lee,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,1.0,5.0,5.0,2.0,4.0
Adaptive fresh-thinking capacity,Brandon Parrish,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,3.0,,,,,
Adaptive fresh-thinking product,Debra Quinn,2b41facd-f492-4805-b67a-58b607510045,1.0,5.0,1.0,2.0,5.0,5.0
Adaptive full-range model,Michael Mathews,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,,5.0,2.0,4.0,3.0,1.0
Adaptive global challenge,Bradley Wong,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,3.0,2.5,2.75,1.5,3.0,2.75
Adaptive global circuit,Chad Rodriguez,e67e65d7-0936-43d5-bb1b-721c832eac03,2.0,1.0,4.0,2.0,1.0,4.0
Adaptive global paradigm,Sylvia Schneider,2b41facd-f492-4805-b67a-58b607510045,1.0,3.0,5.0,2.5,3.5,1.5
Adaptive global project,Lori Garcia,2b41facd-f492-4805-b67a-58b607510045,1.0,3.5,3.0,4.5,4.5,4.0
Adaptive global service-desk,Amy Mueller,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,3.0,2.0,3.0,2.0,4.0
Adaptive global synergy,Jason Malone,e67e65d7-0936-43d5-bb1b-721c832eac03,2.0,2.5,3.0,3.5,1.5,4.5
Adaptive grid-enabled groupware,Terry Miller,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,2.0,,,,,
Adaptive grid-enabled model,Jose Evans,916d0c63-7b5f-42da-8a0a-0dd2ae870662,3.0,,,,,
Adaptive grid-enabled task-force,Hailey Lawrence,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,2.0,2.0,3.0,4.0,4.0
Adaptive heuristic functionalities,Jennifer Gray,2b41facd-f492-4805-b67a-58b607510045,1.0,3.0,3.0,3.0,4.0,1.0
Adaptive heuristic methodology,Dylan Copeland,2b41facd-f492-4805-b67a-58b607510045,2.0,1.0,3.0,2.0,1.0,3.0
Adaptive heuristic process improvement,Robert Carter,2b41facd-f492-4805-b67a-58b607510045,1.0,4.0,4.0,2.0,1.0,3.0
Adaptive high-level neural-net,Julie King,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,,,,,
Adaptive holistic analyzer,Seth Archer,e67e65d7-0936-43d5-bb1b-721c832eac03,,5.0,3.0,2.0,5.0,2.0
Adaptive holistic time-frame,Kathryn Carson,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,4.0,5.0,5.0,4.0,3.0
Adaptive homogeneous challenge,Robin Ray,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,2.0,5.0,5.0,2.0,1.0
Adaptive homogeneous concept,Samantha Crosby,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,,,,,
Adaptive homogeneous firmware,Kenneth Jensen,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,5.0,3.0,2.0,3.5,2.5
Adaptive homogeneous knowledge user,Jon Williams,2b41facd-f492-4805-b67a-58b607510045,2.0,,,,,
Adaptive human-resource budgetary management,Patricia Erickson,916d0c63-7b5f-42da-8a0a-0dd2ae870662,1.0,,,,,
Adaptive human-resource knowledgebase,Valerie Smith,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,,4.0,3.0,3.0,1.5,2.5
Adaptive human-resource migration,Dylan Johnson,2b41facd-f492-4805-b67a-58b607510045,1.0,4.0,1.0,3.0,3.0,5.0
Adaptive human-resource structure,Megan Hill,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,3.0,,,,,
Adaptive hybrid ability,Eddie Keller,e67e65d7-0936-43d5-bb1b-721c832eac03,2.0,3.5,5.0,4.0,2.5,3.0
Adaptive hybrid architecture,Robin Wyatt,916d0c63-7b5f-42da-8a0a-0dd2ae870662,1.0,,,,,
Adaptive hybrid challenge,Kayla Rose,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,,,,,
Adaptive hybrid open system,Jason Davis,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,3.0,,,,,
Adaptive hybrid orchestration,Ryan Sawyer,2b41facd-f492-4805-b67a-58b607510045,1.0,3.5,4.0,3.0,4.5,4.0
Adaptive impactful functionalities,Alan Compton,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,,1.0,3.0,3.0,5.0,4.0
Adaptive impactful instruction set,Thomas Greer,e67e65d7-0936-43d5-bb1b-721c832eac03,,5.0,4.0,2.0,3.0,3.0
Adaptive impactful interface,Bonnie Fox,e67e65d7-0936-43d5-bb1b-721c832eac03,3.0,,,,,
Adaptive impactful knowledgebase,Jorge Simmons,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,5.0,5.0,2.0,4.0,3.0
Adaptive impactful portal,Gloria Reynolds,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,4.0,1.0,5.0,2.0,5.0
Adaptive impactful project,Jennifer Cunningham,2b41facd-f492-4805-b67a-58b607510045,1.0,3.3333333333333335,3.6666666666666665,2.0,2.0,3.0
Adaptive impactful service-desk,Nicholas Harrell,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,,,,,
Adaptive incremental Local Area Network,Maria Charles,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,3.6666666666666665,2.3333333333333335,3.3333333333333335,3.3333333333333335,2.6666666666666665
Adaptive incremental benchmark,Brandi Vasquez,2b41facd-f492-4805-b67a-58b607510045,,5.0,1.0,5.0,5.0,2.0
Adaptive incremental core,Ryan Williamson,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,,3.0,3.0,2.6666666666666665,3.3333333333333335,3.0
Adaptive intangible hub,Julia Carpenter,e67e65d7-0936-43d5-bb1b-721c832eac03,,3.0,4.666666666666667,3.6666666666666665,2.0,3.3333333333333335
Adaptive intangible orchestration,Margaret Hodges,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,1.0,4.0,1.0,3.0,2.0
Adaptive intangible standardization,Joanna Nguyen,916d0c63-7b5f-42da-8a0a-0dd2ae870662,2.0,,,,,
Adaptive interactive collaboration,Dr. Jaime Gross,e67e65d7-0936-43d5-bb1b-721c832eac03,2.0,1.0,3.0,1.0,1.0,4.0
Adaptive interactive matrix,Brian Cooper,2b41facd-f492-4805-b67a-58b607510045,1.0,2.5,2.5,3.0,1.5,3.5
Adaptive interactive open architecture,Gregory Turner,2b41facd-f492-4805-b67a-58b607510045,,3.0,4.0,5.0,4.0,3.0
Adaptive intermediate groupware,Peter Mcdonald,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,,3.0,1.0,5.0,4.0,2.0
Adaptive intermediate installation,Mary Clark,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,3.0,,,,,
Adaptive intermediate projection,Edgar Larson,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,3.0,4.0,3.0,2.0,5.0
Adaptive leadingedge help-desk,Lisa Stevenson,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,4.0,1.0,5.0,5.0,3.0
Adaptive leadingedge leverage,Tina Pope,e67e65d7-0936-43d5-bb1b-721c832eac03,,1.0,2.0,4.0,4.0,2.0
Adaptive leadingedge solution,Laura Krueger,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,2.0,,,,,
Adaptive local algorithm,Nicholas Moore,916d0c63-7b5f-42da-8a0a-0dd2ae870662,2.0,1.0,1.0,3.0,4.0,1.0
Adaptive local collaboration,Madison Hunt,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,,,,,
Adaptive local task-force,Christopher Jones,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,2.0,3.0,2.3333333333333335,3.6666666666666665,4.333333333333333,3.3333333333333335
Adaptive maximized policy,Casey Wilson,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,4.0,4.5,3.0,1.5,3.0
Adaptive maximized time-frame,Francisco Cook,e67e65d7-0936-43d5-bb1b-721c832eac03,,4.666666666666667,3.3333333333333335,2.6666666666666665,3.3333333333333335,4.333333333333333
Adaptive methodical moderator,Valerie Owen,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,2.0,3.6666666666666665,1.3333333333333333,1.3333333333333333,4.0,2.6666666666666665
Adaptive methodical throughput,Ryan Pierce,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,2.0,,,,,
Adaptive mobile pricing structure,Robert Mason,916d0c63-7b5f-42da-8a0a-0dd2ae870662,1.0,,,,,
Adaptive modular budgetary management,Donald Hatfield,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,2.0,4.0,1.0,5.0,2.0,5.0
Adaptive modular forecast,Andrea Simmons,916d0c63-7b5f-42da-8a0a-0dd2ae870662,2.0,3.6666666666666665,4.0,3.3333333333333335,3.3333333333333335,2.3333333333333335
Adaptive modular secured line,Lindsey Sherman,2b41facd-f492-4805-b67a-58b607510045,2.0,4.0,4.5,1.0,3.5,3.0
Adaptive motivating implementation,Kyle Richardson,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,,,,,
Adaptive motivating solution,Deanna Taylor,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,2.0,3.0,2.5,3.0,2.0
Adaptive multi-state budgetary management,Stephanie Pace,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,,,,,
Adaptive multi-state installation,Tammy Cabrera MD,e67e65d7-0936-43d5-bb1b-721c832eac03,3.0,,,,,
Adaptive multi-state secured line,Kristen Stuart,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,,1.0,2.0,5.0,2.0,4.0
Adaptive multi-tasking concept,Christopher Lopez,e67e65d7-0936-43d5-bb1b-721c832eac03,2.0,4.0,5.0,1.0,1.0,3.0
Adaptive multi-tasking hardware,William Gonzalez,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,,,,,
Adaptive multi-tasking synergy,Mike Wong,2b41facd-f492-4805-b67a-58b607510045,2.0,5.0,5.0,4.0,5.0,5.0
Adaptive multimedia complexity,Nicole Jacobs,e67e65d7-0936-43d5-bb1b-721c832eac03,3.0,3.0,4.0,2.0,4.0,2.0
Adaptive multimedia model,Jonathan Gallagher,e67e65d7-0936-43d5-bb1b-721c832eac03,3.0,3.5,2.0,4.5,3.0,2.0
Adaptive needs-based hierarchy,Patrick Hess,2b41facd-f492-4805-b67a-58b607510045,4.0,4.0,2.0,5.0,4.0,4.0
Adaptive needs-based secured line,Susan Armstrong,2b41facd-f492-4805-b67a-58b607510045,3.0,1.0,2.0,1.0,3.0,1.0
Adaptive neutral data-warehouse,Eric Rodriguez,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,,,,,
Adaptive neutral hardware,Gregory Martinez,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,3.0,4.0,3.0,1.0,5.0
Adaptive neutral policy,Andrew Davis,2b41facd-f492-4805-b67a-58b607510045,1.0,,,,,
Adaptive next generation hardware,Corey Burke,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,3.0,4.0,4.0,2.0,3.0,5.0
Adaptive next generation middleware,Catherine Reyes,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,1.0,4.0,4.0,1.0,2.0
Adaptive non-volatile concept,Daniel Simpson,2b41facd-f492-4805-b67a-58b607510045,,4.0,3.0,5.0,4.0,1.0
Adaptive non-volatile core,Brian Floyd,916d0c63-7b5f-42da-8a0a-0dd2ae870662,3.0,1.5,3.5,2.5,2.5,1.5
